n    Explicit      Succinct      DEMOS5        TransExp      TransSuc
1    0.0000019     0.0000015     0.0000007     0.0000019     0.0000048
2    0.0000106     0.0000093     0.0000081     0.0000117     0.0000361
3    0.0000501     0.0001207     0.0000738     0.0000550     0.0003187
4    0.0002117     0.0027100     0.0003637     0.0002559     0.006959
5    0.0008766     0.0893500     0.001829      0.001167      0.2808
6    0.003899      3.7120000     0.008529      0.005112      16.28
7    0.01771       178.10000     0.04352       0.02185       1144
8    0.08341       nan           0.2097        0.1102        nan
9    0.3936        nan           1.100         0.5302        nan
10   1.911         nan           6.789         2.412         nan
11   9.246         nan           41.78         11.69         nan
